kid,billable_serv_id,service_addr,type,rate_code,bill_date,consumpsum
105306,103981,752 CADDER AVE KELOWNA,W,555,2013-01-26,90
105318,124714,732 CADDER AVE  WTR KELOWNA,W,555,2013-01-26,399
105320,103969,724 CADDER AVE  MAIN KELOWNA,W,555,2013-01-26,340
105332,112460,1009 LAWRENCE AVE KELOWNA,W,555,2013-01-06,331
105344,123717,3112 WATT RD KELOWNA,W,555,2013-01-26,645
105357,123335,3091 WALNUT ST KELOWNA,W,555,2013-01-26,783
105369,123724,3182 WATT RD KELOWNA,W,557,2013-01-26,538
105371,123718,3122 WATT RD KELOWNA,W,555,2013-01-26,802
105383,123719,3126 WATT RD KELOWNA,W,555,2013-01-26,578
105395,123721,3142 WATT RD KELOWNA,W,555,2013-01-26,417
105407,123722,3152 WATT RD KELOWNA,W,555,2013-01-26,1295
105419,124643,3162 WATT RD KELOWNA,W,555,2013-01-26,1284
105421,123720,3132 WATT RD KELOWNA,W,555,2013-01-26,160
105445,123723,3172 WATT RD KELOWNA,W,555,2013-01-26,507
105458,104331,1926 CARRUTHERS ST KELOWNA,W,555,2013-01-06,227
105460,104329,1925 CARRUTHERS ST KELOWNA,W,555,2013-01-06,201
105484,123726,3206 WATT RD KELOWNA,W,555,2013-01-26,933
105496,104335,1936 CARRUTHERS ST KELOWNA,W,555,2013-01-06,317
105508,104333,1935 CARRUTHERS ST KELOWNA,W,555,2013-01-06,210
105510,104325,1915 CARRUTHERS ST  MAIN KELOWNA,W,555,2013-01-06,376
105522,104321,1905 CARRUTHERS ST KELOWNA,W,555,2013-01-06,200
105534,112918,1021 LAWSON AVE KELOWNA,W,555,2013-01-16,157
105559,101301,791 BAY AVE KELOWNA,W,555,2013-01-16,669
105561,112920,1022 LAWSON AVE KELOWNA,W,555,2013-01-16,56
105573,101303,797 BAY AVE KELOWNA,W,555,2013-01-16,776
105585,112829,825 LAWRENCE AVE KELOWNA,W,555,2013-01-06,604
105597,117240,1933 PASNAK ST KELOWNA,W,555,2013-01-06,246
105609,112431,935 LAURIER AVE KELOWNA,W,555,2013-01-06,301
105635,116111,1221 PACIFIC AVE KELOWNA,W,555,2013-01-06,107
105635,116112,1223 PACIFIC AVE KELOWNA,W,555,2013-01-06,258
105647,116109,1211 PACIFIC AVE  MAIN KELOWNA,W,555,2013-01-06,249
105662,117239,1930 PASNAK ST KELOWNA,W,555,2013-01-06,163
105686,104327,1916 CARRUTHERS ST KELOWNA,W,555,2013-01-06,209
105698,104323,1906 CARRUTHERS ST KELOWNA,W,555,2013-01-06,206
105700,116104,1155 PACIFIC AVE KELOWNA,W,555,2013-01-06,278
105775,117163,1891 PARKINSON WAY KELOWNA,W,602,2013-01-06,4376
105775,117164,1891 PARKINSON WAY KELOWNA,W,601,2013-01-06,1150
105787,112118,4201 LAKESHORE RD KELOWNA,W,555,2013-01-26,212
105799,118105,814 RAYMER RD KELOWNA,W,555,2013-01-26,682
105801,112914,1011 LAWSON AVE KELOWNA,W,555,2013-01-16,390
105801,112916,1013 LAWSON AVE KELOWNA,W,555,2013-01-16,247
106031,109908,1890 HARVEY AVE KELOWNA,W,602,2013-01-06,10467
106031,109909,1890 HARVEY AVE KELOWNA,W,600,2013-01-06,2288
106118,118086,726 RAYMER RD KELOWNA,W,555,2013-01-26,645
106120,118085,716 RAYMER RD KELOWNA,W,555,2013-01-26,265
106132,118083,706 RAYMER RD KELOWNA,W,555,2013-01-26,367
106157,111859,125 LAKE AVE KELOWNA,W,555,2013-01-16,607
106207,112033,3595 LAKESHORE RD KELOWNA,W,555,2013-01-26,166
106245,109916,1950 HARVEY AVE KELOWNA,W,603,2013-01-06,14050
106245,109917,1950 HARVEY AVE KELOWNA,W,603,2013-01-06,5160
106245,109918,1950 HARVEY AVE KELOWNA,W,602,2013-01-06,6260
106245,109919,1950 HARVEY AVE KELOWNA,W,602,2013-01-06,2933
106245,134349,1950 HARVEY AVE KELOWNA,W,670,2013-01-06,0
106245,134350,1950 HARVEY AVE KELOWNA,W,670,2013-01-06,0
106260,112991,1311 LAWSON AVE KELOWNA,W,583,2013-01-06,13270
106272,101015,1426 BANKHEAD CRES KELOWNA,W,555,2013-01-06,371
106373,112035,3597 LAKESHORE RD KELOWNA,W,555,2013-01-26,447
106450,112067,3950 LAKESHORE RD KELOWNA,W,600,2013-01-26,337
106613,125460,5064 LAKESHORE RD KELOWNA,W,557,2013-01-16,887
106637,104593,631 CAWSTON AVE KELOWNA,W,555,2013-01-26,75
106649,104595,639 CAWSTON AVE KELOWNA,W,555,2013-01-26,253
106664,116616,1953 PANDOSY ST KELOWNA,W,600,2013-01-26,276
106664,116617,1953 PANDOSY ST KELOWNA,W,600,2013-01-26,355
106765,117057,821 PARET RD KELOWNA,W,555,2013-01-26,670
106791,112862,910 LAWRENCE AVE KELOWNA,W,555,2013-01-06,219
106815,104571,571 CAWSTON AVE KELOWNA,W,555,2013-01-26,93
106827,104450,3570 CASORSO RD KELOWNA,W,555,2013-01-26,433
106839,110192,705 HAZELL RD KELOWNA,W,555,2013-01-26,318
106841,110193,709 HAZELL RD KELOWNA,W,555,2013-01-26,680
106854,104449,3560 CASORSO RD KELOWNA,W,555,2013-01-26,476
106880,104448,3554 CASORSO RD KELOWNA,W,555,2013-01-26,305
106904,104254,39 CARAMILLO RD KELOWNA,W,555,2013-01-06,447
106916,104256,43 CARAMILLO RD KELOWNA,W,555,2013-01-06,342
106928,104258,47 CARAMILLO RD KELOWNA,W,555,2013-01-06,473
106930,104257,44 CARAMILLO RD KELOWNA,W,555,2013-01-06,345
106942,104255,40 CARAMILLO RD KELOWNA,W,555,2013-01-06,306
106955,104253,36 CARAMILLO RD KELOWNA,W,555,2013-01-06,532
106967,104452,3596 CASORSO RD KELOWNA,W,555,2013-01-26,135
106981,104247,20 CARAMILLO RD KELOWNA,W,555,2013-01-06,219
106993,104246,16 CARAMILLO RD KELOWNA,W,555,2013-01-06,336
107007,104263,7 CARAMILLO RD KELOWNA,W,555,2013-01-06,253
107019,104245,12 CARAMILLO RD KELOWNA,W,555,2013-01-06,301
107021,104264,8 CARAMILLO RD KELOWNA,W,555,2013-01-06,314
107033,104244,11 CARAMILLO RD KELOWNA,W,555,2013-01-06,252
107045,123580,4488 WASILOW RD KELOWNA,W,555,2013-01-26,562
107058,123576,4476 WASILOW RD KELOWNA,W,555,2013-01-26,456
107060,104248,23 CARAMILLO RD KELOWNA,W,555,2013-01-06,251
107072,104249,27 CARAMILLO RD KELOWNA,W,555,2013-01-06,609
107084,104251,31 CARAMILLO RD KELOWNA,W,555,2013-01-06,641
107096,104252,35 CARAMILLO RD KELOWNA,W,555,2013-01-06,424
107108,123578,4482 WASILOW RD KELOWNA,W,555,2013-01-26,687
107122,123574,4470 WASILOW RD KELOWNA,W,555,2013-01-26,734
107134,104451,3590 CASORSO RD KELOWNA,W,555,2013-01-26,406
107146,118088,746 RAYMER RD KELOWNA,W,555,2013-01-26,302
107161,123579,4485 WASILOW RD KELOWNA,W,555,2013-01-26,706
107197,123581,4493 WASILOW RD KELOWNA,W,555,2013-01-26,762
107235,123577,4479 WASILOW RD KELOWNA,W,555,2013-01-26,473
107351,101329,930 BAY AVE KELOWNA,W,600,2013-01-16,36
107401,113053,779 LAWSON AVE KELOWNA,W,555,2013-01-16,669
107413,113050,771 LAWSON AVE KELOWNA,W,555,2013-01-16,199
107437,113046,765 LAWSON AVE KELOWNA,W,555,2013-01-16,238
107449,113042,755 LAWSON AVE KELOWNA,W,555,2013-01-16,120
107452,113036,747 LAWSON AVE  WTR KELOWNA,W,555,2013-01-16,682
107464,113032,741 LAWSON AVE KELOWNA,W,555,2013-01-16,388
107526,113015,710 LAWSON AVE KELOWNA,W,600,2013-01-16,639
107538,113052,778 LAWSON AVE  MAIN KELOWNA,W,555,2013-01-16,220
107540,113018,716 LAWSON AVE KELOWNA,W,555,2013-01-16,268
107553,113020,722 LAWSON AVE KELOWNA,W,555,2013-01-16,229
107565,113026,730 LAWSON AVE KELOWNA,W,555,2013-01-16,194
107577,183062,740 LAWSON AVE  A KELOWNA,W,555,2013-01-16,283
107589,113034,746 LAWSON AVE KELOWNA,W,555,2013-01-16,345
107591,113038,754 LAWSON AVE  A KELOWNA,W,555,2013-01-16,80
107591,113040,754 LAWSON AVE  B KELOWNA,W,555,2013-01-16,425
107603,113044,762 LAWSON AVE KELOWNA,W,555,2013-01-16,103
107615,113048,770 LAWSON AVE  WTR KELOWNA,W,555,2013-01-16,371
107755,101315,827 BAY AVE KELOWNA,W,555,2013-01-16,292
